year,city,country,city_avg_temp,global_avg_temp
1750,Istanbul,Turkey,13.83,8.72
1751,Istanbul,Turkey,14.14,7.98
1752,Istanbul,Turkey,9.48,5.78
1753,Istanbul,Turkey,13.42,8.39
1754,Istanbul,Turkey,13.58,8.47
1755,Istanbul,Turkey,13.36,8.36
1756,Istanbul,Turkey,14.1,8.85
1757,Istanbul,Turkey,13.9,9.02
1758,Istanbul,Turkey,12.1,6.74
1759,Istanbul,Turkey,13.13,7.99
1760,Istanbul,Turkey,12.57,7.19
1761,Istanbul,Turkey,13.76,8.77
1762,Istanbul,Turkey,13.66,8.61
1763,Istanbul,Turkey,12.72,7.5
1764,Istanbul,Turkey,13.79,8.4
1765,Istanbul,Turkey,13.72,8.25
1766,Istanbul,Turkey,13.6,8.41
1767,Istanbul,Turkey,13.32,8.22
1768,Istanbul,Turkey,12.09,6.78
1769,Istanbul,Turkey,13.29,7.69
1770,Istanbul,Turkey,13.28,7.69
1771,Istanbul,Turkey,13.2,7.85
1772,Istanbul,Turkey,14.22,8.19
1773,Istanbul,Turkey,13.74,8.22
1774,Istanbul,Turkey,14.07,8.77
1775,Istanbul,Turkey,14.35,9.18
1776,Istanbul,Turkey,13.19,8.3
1777,Istanbul,Turkey,13.18,8.26
1778,Istanbul,Turkey,13.96,8.54
1779,Istanbul,Turkey,14.04,8.98
1780,Istanbul,Turkey,13.95,9.43
1781,Istanbul,Turkey,13.7,8.1
1782,Istanbul,Turkey,13.1,7.9
1783,Istanbul,Turkey,13.31,7.68
1784,Istanbul,Turkey,13.4,7.86
1785,Istanbul,Turkey,12.57,7.36
1786,Istanbul,Turkey,13.13,8.26
1787,Istanbul,Turkey,13.61,8.03
1788,Istanbul,Turkey,13.56,8.45
1789,Istanbul,Turkey,13.74,8.33
1790,Istanbul,Turkey,13.56,7.98
1791,Istanbul,Turkey,14.09,8.23
1792,Istanbul,Turkey,13.39,8.09
1793,Istanbul,Turkey,13.27,8.23
1794,Istanbul,Turkey,13.87,8.53
1795,Istanbul,Turkey,13.66,8.35
1796,Istanbul,Turkey,13.6,8.27
1797,Istanbul,Turkey,14.25,8.51
1798,Istanbul,Turkey,13.93,8.67
1799,Istanbul,Turkey,13.29,8.51
1800,Istanbul,Turkey,13.73,8.48
1801,Istanbul,Turkey,14.37,8.59
1802,Istanbul,Turkey,14.48,8.58
1803,Istanbul,Turkey,13.36,8.5
1804,Istanbul,Turkey,13.69,8.84
1805,Istanbul,Turkey,13.12,8.56
1806,Istanbul,Turkey,13.88,8.43
1807,Istanbul,Turkey,13.99,8.28
1808,Istanbul,Turkey,12.75,7.63
1809,Istanbul,Turkey,12.4,7.08
1810,Istanbul,Turkey,12.72,6.92
1811,Istanbul,Turkey,12.95,6.86
1812,Istanbul,Turkey,12.3,7.05
1813,Istanbul,Turkey,12.62,7.74
1814,Istanbul,Turkey,12.81,7.59
1815,Istanbul,Turkey,12.54,7.24
1816,Istanbul,Turkey,12.32,6.94
1817,Istanbul,Turkey,12.74,6.98
1818,Istanbul,Turkey,13.26,7.83
1819,Istanbul,Turkey,13.14,7.37
1820,Istanbul,Turkey,13,7.62
1821,Istanbul,Turkey,12.97,8.09
1822,Istanbul,Turkey,13.07,8.19
1823,Istanbul,Turkey,13.44,7.72
1824,Istanbul,Turkey,14.32,8.55
1825,Istanbul,Turkey,13.08,8.39
1826,Istanbul,Turkey,13.03,8.36
1827,Istanbul,Turkey,14.09,8.81
1828,Istanbul,Turkey,13.07,8.17
1829,Istanbul,Turkey,12.65,7.94
1830,Istanbul,Turkey,13.21,8.52
1831,Istanbul,Turkey,12.84,7.64
1832,Istanbul,Turkey,11.64,7.45
1833,Istanbul,Turkey,13.05,8.01
1834,Istanbul,Turkey,13.15,8.15
1835,Istanbul,Turkey,12.56,7.39
1836,Istanbul,Turkey,13.19,7.7
1837,Istanbul,Turkey,12.46,7.38
1838,Istanbul,Turkey,12.28,7.51
1839,Istanbul,Turkey,12.77,7.63
1840,Istanbul,Turkey,12.3,7.8
1841,Istanbul,Turkey,13.7,7.69
1842,Istanbul,Turkey,12.94,8.02
1843,Istanbul,Turkey,13.22,8.17
1844,Istanbul,Turkey,12.78,7.65
1845,Istanbul,Turkey,13.48,7.85
1846,Istanbul,Turkey,13.98,8.55
1847,Istanbul,Turkey,13.57,8.09
1848,Istanbul,Turkey,13.7,7.98
1849,Istanbul,Turkey,13.09,7.98
1850,Istanbul,Turkey,12.74,7.9
1851,Istanbul,Turkey,13.77,8.18
1852,Istanbul,Turkey,13.29,8.1
1853,Istanbul,Turkey,14.34,8.04
1854,Istanbul,Turkey,13.03,8.21
1855,Istanbul,Turkey,13.36,8.11
1856,Istanbul,Turkey,12.95,8
1857,Istanbul,Turkey,12.24,7.76
1858,Istanbul,Turkey,12.72,8.1
1859,Istanbul,Turkey,13.5,8.25
1860,Istanbul,Turkey,13.89,7.96
1861,Istanbul,Turkey,12.57,7.85
1862,Istanbul,Turkey,12.94,7.56
1863,Istanbul,Turkey,13.47,8.11
1864,Istanbul,Turkey,12.87,7.98
1865,Istanbul,Turkey,13.05,8.18
1866,Istanbul,Turkey,13.12,8.29
1867,Istanbul,Turkey,12.81,8.44
1868,Istanbul,Turkey,13.14,8.25
1869,Istanbul,Turkey,13.57,8.43
1870,Istanbul,Turkey,13.16,8.2
1871,Istanbul,Turkey,13.16,8.12
1872,Istanbul,Turkey,14.41,8.19
1873,Istanbul,Turkey,14.03,8.35
1874,Istanbul,Turkey,13.39,8.43
1875,Istanbul,Turkey,12.37,7.86
1876,Istanbul,Turkey,13.6,8.08
1877,Istanbul,Turkey,13.57,8.54
1878,Istanbul,Turkey,13.99,8.83
1879,Istanbul,Turkey,14.07,8.17
1880,Istanbul,Turkey,12.49,8.12
1881,Istanbul,Turkey,12.74,8.27
1882,Istanbul,Turkey,13.25,8.13
1883,Istanbul,Turkey,13.32,7.98
1884,Istanbul,Turkey,12.77,7.77
1885,Istanbul,Turkey,13.74,7.92
1886,Istanbul,Turkey,13.67,7.95
1887,Istanbul,Turkey,13.69,7.91
1888,Istanbul,Turkey,12.8,8.09
1889,Istanbul,Turkey,13.2,8.32
1890,Istanbul,Turkey,13.25,7.97
1891,Istanbul,Turkey,13.1,8.02
1892,Istanbul,Turkey,13.95,8.07
1893,Istanbul,Turkey,12.48,8.06
1894,Istanbul,Turkey,12.78,8.16
1895,Istanbul,Turkey,13.61,8.15
1896,Istanbul,Turkey,13.2,8.21
1897,Istanbul,Turkey,13.28,8.29
1898,Istanbul,Turkey,13.54,8.18
1899,Istanbul,Turkey,13.6,8.4
1900,Istanbul,Turkey,14.06,8.5
1901,Istanbul,Turkey,13.97,8.54
1902,Istanbul,Turkey,13.26,8.3
1903,Istanbul,Turkey,13.45,8.22
1904,Istanbul,Turkey,13.17,8.09
1905,Istanbul,Turkey,13.3,8.23
1906,Istanbul,Turkey,13.41,8.38
1907,Istanbul,Turkey,12.65,7.95
1908,Istanbul,Turkey,12.73,8.19
1909,Istanbul,Turkey,13.72,8.18
1910,Istanbul,Turkey,13.66,8.22
1911,Istanbul,Turkey,12.86,8.18
1912,Istanbul,Turkey,13.18,8.17
1913,Istanbul,Turkey,12.94,8.3
1914,Istanbul,Turkey,13.03,8.59
1915,Istanbul,Turkey,14,8.59
1916,Istanbul,Turkey,14.53,8.23
1917,Istanbul,Turkey,13.81,8.02
1918,Istanbul,Turkey,13.82,8.13
1919,Istanbul,Turkey,13.86,8.38
1920,Istanbul,Turkey,12.74,8.36
1921,Istanbul,Turkey,12.95,8.57
1922,Istanbul,Turkey,13.76,8.41
1923,Istanbul,Turkey,14.46,8.42
1924,Istanbul,Turkey,13.42,8.51
1925,Istanbul,Turkey,13.91,8.53
1926,Istanbul,Turkey,14.03,8.73
1927,Istanbul,Turkey,14.29,8.52
1928,Istanbul,Turkey,13.37,8.63
1929,Istanbul,Turkey,13.29,8.24
1930,Istanbul,Turkey,14.36,8.63
1931,Istanbul,Turkey,13.66,8.72
1932,Istanbul,Turkey,13.84,8.71
1933,Istanbul,Turkey,12.68,8.34
1934,Istanbul,Turkey,14.2,8.63
1935,Istanbul,Turkey,13.94,8.52
1936,Istanbul,Turkey,14.22,8.55
1937,Istanbul,Turkey,14.79,8.7
1938,Istanbul,Turkey,13.79,8.86
1939,Istanbul,Turkey,14.23,8.76
1940,Istanbul,Turkey,13.4,8.76
1941,Istanbul,Turkey,13.32,8.77
1942,Istanbul,Turkey,12.97,8.73
1943,Istanbul,Turkey,13.16,8.76
1944,Istanbul,Turkey,13.8,8.85
1945,Istanbul,Turkey,13.32,8.58
1946,Istanbul,Turkey,14.21,8.68
1947,Istanbul,Turkey,14.31,8.8
1948,Istanbul,Turkey,13.09,8.75
1949,Istanbul,Turkey,12.78,8.59
1950,Istanbul,Turkey,13.83,8.37
1951,Istanbul,Turkey,14.23,8.63
1952,Istanbul,Turkey,14.64,8.64
1953,Istanbul,Turkey,13.03,8.87
1954,Istanbul,Turkey,13.63,8.56
1955,Istanbul,Turkey,14.57,8.63
1956,Istanbul,Turkey,12.95,8.28
1957,Istanbul,Turkey,14.09,8.73
1958,Istanbul,Turkey,14.24,8.77
1959,Istanbul,Turkey,13.03,8.73
1960,Istanbul,Turkey,14.3,8.58
1961,Istanbul,Turkey,14.04,8.8
1962,Istanbul,Turkey,14.65,8.75
1963,Istanbul,Turkey,14.07,8.86
1964,Istanbul,Turkey,13.12,8.41
1965,Istanbul,Turkey,13.48,8.53
1966,Istanbul,Turkey,15.22,8.6
1967,Istanbul,Turkey,13.47,8.7
1968,Istanbul,Turkey,13.71,8.52
1969,Istanbul,Turkey,13.79,8.6
1970,Istanbul,Turkey,14.27,8.7
1971,Istanbul,Turkey,13.77,8.6
1972,Istanbul,Turkey,13.48,8.5
1973,Istanbul,Turkey,13.31,8.95
1974,Istanbul,Turkey,13.37,8.47
1975,Istanbul,Turkey,13.95,8.74
1976,Istanbul,Turkey,12.85,8.35
1977,Istanbul,Turkey,13.94,8.85
1978,Istanbul,Turkey,13.71,8.69
1979,Istanbul,Turkey,14.37,8.73
1980,Istanbul,Turkey,13.51,8.98
1981,Istanbul,Turkey,13.99,9.17
1982,Istanbul,Turkey,13.46,8.64
1983,Istanbul,Turkey,13.61,9.03
1984,Istanbul,Turkey,13.7,8.69
1985,Istanbul,Turkey,13.47,8.66
1986,Istanbul,Turkey,13.79,8.83
1987,Istanbul,Turkey,13.19,8.99
1988,Istanbul,Turkey,13.66,9.2
1989,Istanbul,Turkey,13.9,8.92
1990,Istanbul,Turkey,14.01,9.23
1991,Istanbul,Turkey,13.21,9.18
1992,Istanbul,Turkey,13.01,8.84
1993,Istanbul,Turkey,13.32,8.87
